Date,Day,High_Temp,Low_Temp,Precipitation,Brooklyn_Bridge,Manhattan_Bridge,Williamsburg_Bridge,Queensboro_Bridge,Total
5/1,Sunday,50,45,0.16,2634,1525,2062,1408,7629
5/2,Monday,59,46,0.04,2505,4149,4864,3575,15093
5/3,Tuesday,54,51.1,0.61,1059,1986,2614,1741,7400
5/4,Wednesday,51.1,48.9,0.01,1710,2905,3797,2693,11105
5/5,Thursday,57,46.9,0,2582,4196,4971,3619,15368
5/6,Friday,53.1,48,0.54,652,1453,2122,1612,5839
5/7,Saturday,57.9,48.9,0,1867,3157,3789,2749,11562
5/8,Sunday,64.9,50,0.16,1916,2927,3948,2463,11254
5/9,Monday,72,55,0,3650,6591,7386,4951,22578
5/10,Tuesday,62.1,51.1,0,3384,6283,7335,4796,21798
5/11,Wednesday,73.9,53.1,0,3883,7216,8231,5327,24657
5/12,Thursday,79,57.9,0,3960,7103,8333,5735,25131
5/13,Friday,64.9,60.1,0.25,1780,3072,4229,3121,12202
5/14,Saturday,71.6,60.8,T,2556,4042,5479,3951,16028
5/15,Sunday,57.2,50,T,1738,2971,3486,2696,10891
5/16,Monday,66.2,46.4,0,2907,5254,5961,4016,18138
5/17,Tuesday,64.4,55.4,T,2812,5230,6219,4344,18605
5/18,Wednesday,68,53.6,T,3309,5812,6739,4603,20463
5/19,Thursday,71.1,57,0,3474,6214,7485,4763,21936
5/20,Friday,75,55,0,3976,6994,7776,5221,23967
5/21,Saturday,66,55,0.04,1665,2864,3978,2928,11435
5/22,Sunday,69.1,53.1,0.09,2117,3729,4633,2956,13435
5/23,Monday,77,57.9,0.02,3928,6843,7769,5135,23675
5/24,Tuesday,73,59,0.18,1482,3019,4260,2392,11153
5/25,Wednesday,87.1,64,0,4244,7869,8959,5906,26978
5/26,Thursday,89.1,71.1,0,3887,7037,8231,5451,24606
5/27,Friday,86,75,0,3302,5670,7054,4592,20618
5/28,Saturday,90,72,0,2664,3998,5327,3895,15884
5/29,Sunday,86,73,T,3193,4154,4918,3635,15900
5/30,Monday,79,68,1.65,1719,2750,3759,2689,10917
5/31,Tuesday,84.9,72,0,3948,7016,7957,5556,24477
